"pais","fertilidad","MORTALIDADALI","nacimientos.x","nacimientos.y"
"Afghanistan",4.82,638,36.7,36.7
"Albania",1.53,15,13,13
"Algeria",2.59,112,20,20
"Angola",5.96,241,42.7,42.7
"Argentina",2.21,39,16,16
"Armenia",1.65,26,11.9,11.9
"Australia",1.74,6,12.4,12.4
"Austria",1.49,5,9.5,9.5
"Azerbaijan",1.88,26,14.5,14.5
"Bahamas, The",1.92,70,14.8,14.8
"Bahrain",1.69,14,12.7,12.7
"Bangladesh",2.11,173,18.1,18.1
"Barbados",1.68,27,11.3,11.3
"Belarus",1.5,2,9.5,9.5
"Belgium",1.77,5,11.1,11.1
"Belize",2.7,36,22,22
"Benin",5.53,397,42.1,42.1
"Bhutan",1.82,183,16.3,16.3
"Bolivia",2.48,155,20.8,20.8
"Bosnia and Herzegovina",1.33,10,8.6,8.6
"Botswana",2.45,144,20.9,20.9
"Brazil",1.73,60,13.6,13.6
"Brunei",1.75,31,16.5,16.5
"Bulgaria",1.49,10,8.3,8.3
"Burkina Faso",4.51,320,35.1,35.1
"Burma",2.07,250,17,17
"Burundi",5.28,548,36.5,36.5
"Cabo Verde",2.16,58,19.1,19.1
"Cambodia",2.39,160,21.3,21.3
"Cameroon",4.66,529,36.3,36.3
"Canada",1.57,10,10.2,10.2
"Central African Republic",4.14,829,33.2,33.2
"Chile",1.77,13,13.1,13.1
"China",1.6,29,11.6,11.6
"Colombia",1.94,83,15.4,15.4
"Comoros",2.95,273,23.6,23.6
"Congo, Democratic Republic of the",5.77,473,41,41
"Congo, Republic of the",4.45,378,32.6,32.6
"Costa Rica",1.87,27,14.8,14.8
"Cote d'Ivoire",3.67,617,29.1,29.1
"Croatia",1.42,8,8.7,8.7
"Cuba",1.71,36,10.4,10.4
"Cyprus",1.48,6,10.9,10.9
"Czechia",1.48,3,8.9,8.9
"Denmark",1.78,4,11.1,11.1
"Djibouti",2.19,248,22.7,22.7
"Dominican Republic",2.24,95,18.5,18.5
"Ecuador",2.09,59,17,17
"Egypt",3.29,37,27.2,27.2
"El Salvador",2.09,46,18.6,18.6
"Equatorial Guinea",4.11,301,30.7,30.7
"Eritrea",3.73,480,27.9,27.9
"Estonia",1.61,9,9.3,9.3
"Eswatini",2.52,437,24.5,24.5
"Ethiopia",4.14,401,31.6,31.6
"Fiji",2.31,34,17.4,17.4
"Finland",1.74,3,10.6,10.6
"France",2.06,8,11.9,11.9
"Gabon",3.41,252,26.3,26.3
"Gambia, The",3.21,597,27,27
"Gaza Strip",3.64,27,28.6,28.6
"Georgia",1.75,25,11.6,11.6
"Germany",1.47,7,8.6,8.6
"Ghana",3.9,308,29.6,29.6
"Greece",1.38,3,7.8,7.8
"Grenada",1.96,25,14.6,14.6
"Guatemala",2.72,95,23.3,23.3
"Guinea",4.92,576,36.1,36.1
"Guinea-Bissau",4.75,667,36.9,36.9
"Guyana",1.89,667,15.5,15.5
"Haiti",2.52,480,21.7,21.7
"Honduras",2.09,65,18.5,18.5
"Hungary",1.47,12,8.8,8.8
"Iceland",1.97,4,13.3,13.3
"India",2.35,145,18.2,18.2
"Indonesia",2.04,177,15.4,15.4
"Iran",1.94,16,16.3,16.3
"Iraq",3.39,79,25.7,25.7
"Ireland",1.94,5,13,13
"Israel",2.59,3,17.6,17.6
"Italy",1.47,2,8.4,8.4
"Jamaica",2.07,80,16.1,16.1
"Japan",1.43,5,7.3,7.3
"Jordan",3.04,46,23,23
"Kazakhstan",2.16,10,16.4,16.4
"Kenya",3.43,342,27.2,27.2
"Kiribati",2.25,92,20.5,20.5
"Korea, North",1.92,89,14.5,14.5
"Korea, South",1.29,11,8.2,8.2
"Kuwait",2.26,12,18,18
"Kyrgyzstan",2.54,60,20.6,20.6
"Laos",2.53,185,22.4,22.4
"Latvia",1.53,19,9.2,9.2
"Lebanon",1.71,29,13.6,13.6
"Lesotho",2.5,544,23.2,23.2
"Liberia",4.9,661,37.3,37.3
"Libya",3.17,72,23,23
"Lithuania",1.6,5,9.5,9.5
"Luxembourg",1.62,5,11.6,11.6
"Macedonia",1.5,7,10.7,10.7
"Madagascar",3.78,335,29.9,29.9
"Malawi",5.31,349,40.1,40.1
"Malaysia",2.43,29,18.3,18.3
"Maldives",1.71,53,16,16
"Mali",5.72,562,42.2,42.2
"Malta",1.49,6,9.9,9.9
"Mauritania",3.65,766,29,29
"Mauritius",1.73,61,12.6,12.6
"Mexico",2.19,33,17.6,17.6
"Micronesia, Federated States of",2.29,88,18.9,18.9
"Moldova",1.58,19,10.7,10.7
"Mongolia",1.95,45,16.6,16.6
"Montenegro",1.82,6,11.5,11.5
"Morocco",2.31,70,17.9,17.9
"Mozambique",4.97,289,38.6,38.6
"Namibia",3.07,195,25.7,25.7
"Nepal",1.96,186,18.1,18.1
"Netherlands",1.77,5,11,11
"New Zealand",1.87,9,12.8,12.8
"Nicaragua",1.82,198,17.1,17.1
"Niger",7,509,47.5,47.5
"Nigeria",4.72,917,34.6,34.6
"Norway",1.84,2,12.2,12.2
"Oman",2.76,19,23.1,23.1
"Pakistan",3.6,140,27.4,27.4
"Panama",2.23,52,17.1,17.1
"Papua New Guinea",2.84,145,22.5,22.5
"Paraguay",1.89,84,16.6,16.6
"Peru",2.04,88,17,17
"Philippines",2.92,121,22.9,22.9
"Poland",1.38,2,8.9,8.9
"Portugal",1.41,8,8.1,8.1
"Puerto Rico",1.24,21,8,8
"Qatar",1.88,9,9.3,9.3
"Romania",1.38,19,8.5,8.5
"Russia",1.6,17,10,10
"Rwanda",3.52,248,27.9,27.9
"Saint Lucia",1.73,117,12.5,12.5
"Saint Vincent and the Grenadines",1.76,98,12.6,12.6
"Samoa",2.5,43,19.6,19.6
"Sao Tome and Principe",3.82,130,29.7,29.7
"Saudi Arabia",1.95,17,14.7,14.7
"Senegal",4.04,315,31.8,31.8
"Serbia",1.46,12,8.8,8.8
"Singapore",0.87,8,8.9,8.9
"Slovakia",1.44,5,9.3,9.3
"Slovenia",1.59,7,8.7,8.7
"Solomon Islands",2.97,104,23.6,23.6
"Somalia",5.51,829,38.7,38.7
"South Africa",2.22,119,19.2,19.2
"Spain",1.51,4,8.7,8.7
"Sri Lanka",2.01,36,14.2,14.2
"Sudan",4.72,295,33.8,33.8
"Suriname",1.86,120,14.9,14.9
"Sweden",1.87,4,12.1,12.1
"Switzerland",1.57,5,10.5,10.5
"Syria",2.9,31,23.8,23.8
"Tajikistan",2.51,17,21.8,21.8
"Tanzania",4.59,524,34.6,34.6
"Thailand",1.54,37,10.7,10.7
"Timor-Leste",4.44,142,32,32
"Togo",4.22,396,32,32
"Tonga",2.87,52,21,21
"Trinidad and Tobago",1.7,67,11.4,11.4
"Tunisia",2.06,43,15.9,15.9
"Turkey",1.96,17,14.8,14.8
"Turkmenistan",2.04,7,18.3,18.3
"Uganda",5.54,375,42.3,42.3
"Ukraine",1.56,19,9.6,9.6
"United Arab Emirates",1.73,3,9.5,9.5
"United Kingdom",1.86,7,11.9,11.9
"United States",1.84,19,12.4,12.4
"Uruguay",1.77,17,12.9,12.9
"Uzbekistan",1.74,29,16.1,16.1
"Vanuatu",2.79,72,22.4,22.4
"Venezuela",2.26,125,17.9,17.9
"Vietnam",1.77,43,14.5,14.5
"West Bank",3.07,27,25.2,25.2
"Yemen",3.2,164,25.8,25.8
"Zambia",5.49,213,40.4,40.4
"Zimbabwe",3.93,458,33.6,33.6
